Buchungs_ID;Personen_FS;Land_FS;Ankunft;Abreise
604;1370;198;2019-05-13 00:00:00;2019-05-15 00:00:00
605;1371;198;2019-05-07 00:00:00;2019-05-08 00:00:00
606;1372;0;2019-06-07 00:00:00;2019-06-08 00:00:00
607;1373;115;2019-05-28 00:00:00;2019-05-30 00:00:00
608;1376;198;2019-06-19 00:00:00;2019-06-20 00:00:00
609;1377;138;2019-05-20 00:00:00;2019-05-22 00:00:00
610;1378;198;2019-07-04 00:00:00;2019-07-10 00:00:00
611;1254;0;1000-01-01 00:00:00;1000-01-01 00:00:00
612;1380;0;2019-06-07 00:00:00;2019-06-11 00:00:00
613;1381;115;2019-06-23 00:00:00;2019-06-24 00:00:00
614;1382;197;2019-10-07 00:00:00;2019-10-08 00:00:00
615;1383;178;2019-08-02 00:00:00;2019-08-26 00:00:00
616;88;115;2019-05-04 00:00:00;2019-05-08 00:00:00
617;16;115;2019-07-12 00:00:00;2019-07-13 00:00:00
618;937;186;2019-06-15 00:00:00;2019-06-18 00:00:00
619;543;0;1000-01-01 00:00:00;1000-01-01 00:00:00
620;543;0;2019-04-16 00:00:00;2019-04-19 00:00:00
621;543;0;1000-01-01 00:00:00;1000-01-01 00:00:00
622;1106;115;2019-05-07 00:00:00;2019-05-08 00:00:00
623;1394;115;2019-07-02 00:00:00;2019-07-04 00:00:00
624;423;136;2019-04-27 00:00:00;2019-04-28 00:00:00
625;620;221;2019-06-02 00:00:00;2019-06-07 00:00:00
626;1396;198;2019-06-21 00:00:00;2019-06-23 00:00:00
627;1399;198;2019-06-03 00:00:00;2019-06-04 00:00:00
628;423;115;2019-05-05 00:00:00;2019-05-08 00:00:00
629;423;0;1000-01-01 00:00:00;1000-01-01 00:00:00
630;1403;0;2023-07-15 00:00:00;2023-07-29 00:00:00
631;1404;0;2019-05-09 00:00:00;2019-05-10 00:00:00
632;1406;0;2019-05-12 00:00:00;2019-05-13 00:00:00
633;1406;0;1000-01-01 00:00:00;1000-01-01 00:00:00
634;423;0;2019-05-12 00:00:00;2019-05-13 00:00:00
635;423;0;1000-01-01 00:00:00;1000-01-01 00:00:00
636;1370;0;1000-01-01 00:00:00;1000-01-01 00:00:00
637;1411;0;1000-01-01 00:00:00;1000-01-01 00:00:00
638;423;0;2019-05-15 00:00:00;1000-01-01 00:00:00
639;1413;198;2019-06-04 00:00:00;2019-06-06 00:00:00
